Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
Energy for Sustainable Development,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.9,1.226,Elsevier,"Geography, Planning and Development"
"Energy, Sustainability and Society",,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.3,1.301,Springer Nature,Development
Entrepreneurial Business and Economics Review,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.8,0.807,Cracow University of Economics,Political Science and International Relations
Environment and Planning A,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.2,1.742,SAGE,"Geography, Planning and Development"
Environment and Society: Advances in Research,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.5,0.854,Berghahn,Anthropology
"Environment, Development and Sustainability",,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.6,0.972,Springer Nature,"Geography, Planning and Development"
Environmental Development,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.5,1.251,Elsevier,"Geography, Planning and Development"
Environmental Education Research,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.1,1.24,Taylor & Francis,Education
Environmental Impact Assessment Review,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,19.6,2.958,Elsevier,"Geography, Planning and Development"
Environmental Innovation and Societal Transitions,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.5,2.155,Elsevier,Social Sciences (miscellaneous)
Environmental Politics,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.5,1.9,Taylor & Francis,Sociology and Political Science
Environmental Science and Policy,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.1,1.72,Elsevier,"Geography, Planning and Development"
European Journal of Engineering Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.9,1.205,Taylor & Francis,Education
European Journal of Futures Research,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.1,0.709,Springer Nature,Social Sciences (miscellaneous)
European Journal of International Relations,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.1,1.776,SAGE,Political Science and International Relations
European Journal of Political Research,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,3.432,Cambridge University Press,Sociology and Political Science
European Journal of Population,,Demography,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.6,1.209,Springer Nature,Demography
European Journal of Social Theory,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,1.446,SAGE,Sociology and Political Science
European Journal of Teacher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.5,1.396,Taylor & Francis,Education
European Journal of Training and Development,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.4,1.048,Emerald Publishing,Education
