Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
Journal of Contemporary China,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.5,1.114,Taylor & Francis,Political Science and International Relations
Journal of Current Chinese Affairs,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.4,0.693,SAGE,Political Science and International Relations
Journal of Democracy,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.9,3.142,Johns Hopkins University Press,Sociology and Political Science
Journal of Development Economics,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,3.381,Elsevier,Development
Journal of Digital Economy,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.4,0.971,KeAi Communications Co.,Social Sciences (miscellaneous)
Journal of Digital Learning in Teacher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.3,2.242,Taylor & Francis,Education
Journal of Diversity in Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.5,1.121,American Psychological Association,Education
Journal of Early Adolescence,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.8,1.176,SAGE,Social Sciences (miscellaneous)
Journal of Ecotourism,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.4,0.762,Taylor & Francis,"Geography, Planning and Development"
Journal of Education Policy,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,1.363,Taylor & Francis,Education
Journal of Educational Change,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.6,1.584,Springer Nature,Education
Journal of Educational Computing Research,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.8,2.457,SAGE,Education
Journal of Engineering Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.4,2.278,John Wiley & Sons,Education
Journal of Ethnic Foods,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.6,0.536,Springer Nature,Anthropology
Journal of Ethnic and Migration Studies,,Demography,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,1.456,Taylor & Francis,Demography
Journal of European Integration,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.7,1.503,Taylor & Francis,Political Science and International Relations
Journal of European Public Policy,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A,10.7,2.219,Taylor & Francis,Political Science and International Relations
Journal of European Social Policy,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,1.181,SAGE,General Social Sciences
Journal of Experimental Political Science,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.3,2.016,Cambridge University Press,Sociology and Political Science
Journal of Experimental Social Psychology,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.3,1.896,Elsevier,Sociology and Political Science
Journal of Family Theory and Review,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,1.662,John Wiley & Sons,Social Sciences (miscellaneous)
Journal of Gender Studies,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.5,0.807,Taylor & Francis,Gender Studies
Journal of Geovisualization and Spatial Analysis,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.8,1.361,Springer Nature,"Geography, Planning and Development"
Journal of Happiness Studies,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.1,1.378,Springer Nature,Social Sciences (miscellaneous)
Journal of Homosexuality,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.5,0.857,Taylor & Francis,Gender Studies
Journal of Hospitality and Tourism Research,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.3,1.953,SAGE,Education
"Journal of Hospitality, Leisure, Sport and Tourism Education",,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.4,0.952,Elsevier,Education
Journal of Human Evolution,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.1,1.585,Elsevier,Anthropology
Journal of Human Trafficking,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,4.5,0.519,Taylor & Francis,Anthropology
Journal of Industrial Ecology,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.0,1.741,Springer Nature,General Social Sciences
Journal of Information Technology and Politics,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.1,1.168,Taylor & Francis,Sociology and Political Science
Journal of Innovation and Entrepreneurship,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.4,1.056,Springer Nature,Sociology and Political Science
Journal of Intellectual Capital,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.9,1.382,Emerald Publishing,Education
Journal of Interactive Advertising,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.5,2.648,Taylor & Francis,Communication
Journal of International Business Studies,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,17.6,4.454,Springer Nature,General Social Sciences
Journal of International Relations and Development,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.8,1.278,Springer Nature,Political Science and International Relations
Journal of LGBT Youth,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.2,0.761,Taylor & Francis,Gender Studies
Journal of Language and Sexuality,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,4.6,0.672,John Benjamins Publishing Company,Anthropology
Journal of Language and Social Psychology,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,4.7,0.814,SAGE,Anthropology
Journal of Leadership and Organizational Studies,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.9,1.539,SAGE,Sociology and Political Science
Journal of Marketing Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.9,0.88,SAGE,Education
Journal of Marketing for Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.6,1.181,Taylor & Francis,Education
Journal of Marriage and Family,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.4,1.821,John Wiley & Sons,Anthropology
Journal of Metaverse,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,17.0,1.054,Izmir Academy Association,Social Sciences (miscellaneous)
Journal of Mixed Methods Research,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.8,3.24,SAGE,Social Sciences (miscellaneous)
Journal of New Approaches in Educational Research,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.6,1.609,Springer Nature,Education
"Journal of Open Innovation: Technology, Market, and Complexity",,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,16.0,1.397,Elsevier,Sociology and Political Science
Journal of Organizational Behavior,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.2,3.999,John Wiley & Sons,Sociology and Political Science
Journal of Peace Research,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.6,2.298,Oxford University Press,Political Science and International Relations
Journal of Personality and Social Psychology,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.4,3.767,American Psychological Association,Sociology and Political Science
Journal of Physiological Anthropology,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.1,0.925,Springer Nature,Anthropology
Journal of Planning Education and Research,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,1.054,SAGE,Urban Studies
Journal of Planning Literature,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.0,1.963,SAGE,"Geography, Planning and Development"
Journal of Political Marketing,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,0.675,Taylor & Francis,Sociology and Political Science
Journal of Politics,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,3.492,University of Chicago Press,Sociology and Political Science
Journal of Public Administration Research and Theory,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A,11.0,3.301,Oxford University Press,Sociology and Political Science
Journal of Public Affairs,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.0,0.503,John Wiley & Sons,Political Science and International Relations
Journal of Public Relations Research,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,1.255,Taylor & Francis,Sociology and Political Science
Journal of Racial and Ethnic Health Disparities,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.1,1.255,Springer Nature,Anthropology
Journal of Remote Sensing (United States),,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.4,2.727,American Association for the Advancement of Science,"Geography, Planning and Development"
Journal of Research in Innovative Teaching and Learning,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.9,0.969,Emerald Publishing,Education
Journal of Research in Science Teaching,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.3,1.939,John Wiley & Sons,Education
Journal of Research on Technology in Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,17.9,2.172,Taylor & Francis,Education
Journal of Rural Studies,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.9,1.731,Elsevier,Sociology and Political Science
Journal of Science Education and Technology,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.9,1.74,Springer Nature,Education
Journal of Social Entrepreneurship,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.3,0.9,Taylor & Francis,Development
Journal of Social Issues,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.6,1.309,John Wiley & Sons,General Social Sciences
Journal of Social Policy,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,1.335,Cambridge University Press,Social Sciences (miscellaneous)
Journal of Studies in International Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.5,0.894,SAGE,Education
Journal of Sustainable Tourism,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,22.8,2.381,Taylor & Francis,"Geography, Planning and Development"
Journal of Teacher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,1.825,SAGE,Education
Journal of Tourism Futures,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,23.1,1.415,Emerald Publishing,"Geography, Planning and Development"
Journal of Transport Geography,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.0,1.688,Elsevier,"Geography, Planning and Development"
Journal of Travel Research,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,22.7,3.127,SAGE,"Geography, Planning and Development"
Journal of Trust Research,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.0,1.067,Taylor & Francis,Sociology and Political Science
Journal of University Teaching and Learning Practice,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.9,1.164,Open Access Publishing Association,Education
Journal of Urban Economics,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.2,2.957,Elsevier,Urban Studies
Journal of Urban Management,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.5,1.142,Elsevier,Urban Studies
Journal of Urban Mobility,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.8,1.621,Elsevier,"Geography, Planning and Development"
Journal of Urban Technology,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.4,1.065,Taylor & Francis,Urban Studies
Journal of Work-Applied Management,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.6,0.775,Emerald Publishing,Education
Journal of Youth Studies,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,1.178,Taylor & Francis,General Social Sciences
Journal of Youth and Adolescence,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.6,1.893,Springer Nature,Social Sciences (miscellaneous)
Journal of the American Planning Association,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.4,1.697,Taylor & Francis,Urban Studies
Journal of the Learning Sciences,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.5,1.517,Taylor & Francis,Education
Journalism Practice,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.7,1.57,Taylor & Francis,Communication
Journalism and Mass Communication Educator,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.7,1.108,SAGE,Communication
Journalism and Mass Communication Quarterly,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,1.136,SAGE,Communication
Journals of Gerontology - Series B Psychological Sciences and Social Sciences,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,1.503,Gerontological Society of America,Sociology and Political Science
Kybernetes,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.7,0.654,Emerald Publishing,General Social Sciences
Land Use Policy,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.0,1.686,Elsevier,"Geography, Planning and Development"
Landscape and Urban Planning,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,19.6,2.952,Elsevier,Urban Studies
Leadership Quarterly,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,19.1,6.124,Elsevier,Sociology and Political Science
Learning Environments Research,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.7,1.305,Springer Nature,Communication
Learning Organization,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,0.773,Emerald Publishing,Education
Learning and Instruction,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.2,2.533,Elsevier,Education
"Learning, Media and Technology",,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.5,1.578,Taylor & Francis,Education
Learning: Research and Practice,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.6,1.76,Taylor & Francis,Education
Leisure Sciences,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.3,0.724,Taylor & Francis,Sociology and Political Science
Long Range Planning,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.6,2.815,Elsevier,"Geography, Planning and Development"
Mass Communication and Society,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.2,1.273,Taylor & Francis,Communication
Mathematical Finance,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.7,1.761,John Wiley & Sons,Social Sciences (miscellaneous)
Media Psychology,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.8,1.478,Taylor & Francis,Communication
"Media, Culture and Society",,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,1.957,SAGE,Sociology and Political Science
Metacognition and Learning,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.4,1.845,Springer Nature,Education
Mineral Economics,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.9,1.068,Springer Nature,"Geography, Planning and Development"
Minerva,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,1.005,Springer Nature,General Social Sciences
Mobilities,,Demography,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.3,0.902,Taylor & Francis,Demography
Multimodal Transportation,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.9,1.302,Elsevier,"Geography, Planning and Development"
Nature Climate Change,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,39.0,7.978,Springer Nature,Social Sciences (miscellaneous)
Nature Sustainability,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,44.1,7.896,Springer Nature,"Geography, Planning and Development"
New Left Review,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,0.622,New Left Review Subscriptions,Political Science and International Relations
New Media and Society,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.3,2.723,SAGE,Sociology and Political Science
New Political Economy,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.5,1.809,Taylor & Francis,Political Science and International Relations
Nonprofit and Voluntary Sector Quarterly,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,1.285,SAGE,Social Sciences (miscellaneous)
Online Social Networks and Media,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,0.649,Elsevier,Communication
Open Learning,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.1,0.65,Taylor & Francis,Education
Organizational Dynamics,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,1.594,Elsevier,Sociology and Political Science
Pacific Review,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.3,1.152,Taylor & Francis,Sociology and Political Science
Party Politics,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.2,1.93,SAGE,Sociology and Political Science
Perspectives on Politics,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.4,2.923,Cambridge University Press,Political Science and International Relations
Perspectives on Public Management and Governance,,Public Administration,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,1.988,Oxford University Press,Public Administration
Planning Theory,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.8,1.46,SAGE,"Geography, Planning and Development"
Policy Design and Practice,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.5,0.867,Taylor & Francis,Political Science and International Relations
Policy Sciences,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,1.273,Springer Nature,General Social Sciences
Policy Studies,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,0.898,Taylor & Francis,Political Science and International Relations
Policy Studies Journal,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A,9.9,1.363,John Wiley & Sons,Sociology and Political Science
Policy and Society,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.6,1.442,Oxford University Press,Political Science and International Relations
Political Analysis,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.5,4.368,Cambridge University Press,Political Science and International Relations
Political Behavior,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.0,2.955,Springer Nature,Sociology and Political Science
Political Communication,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.2,2.907,Taylor & Francis,Sociology and Political Science
Political Science Research and Methods,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.2,2.574,Cambridge University Press,Political Science and International Relations
Political Studies,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,1.989,SAGE,Sociology and Political Science
Politics,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,1.088,SAGE,Political Science and International Relations
Politics and Gender,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.1,1.847,Cambridge University Press,Gender Studies
Politics and Society,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.6,1.482,SAGE,Political Science and International Relations
Population and Development Review,,Demography,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.9,1.616,John Wiley & Sons,Demography
Post-Soviet Affairs,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.6,1.707,Taylor & Francis,Political Science and International Relations
Proceedings of the ACM on Human-Computer Interaction,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.5,0.498,Association for Computing Machinery,Social Sciences (miscellaneous)
Professional Development in Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,1.342,Taylor & Francis,Education
Progress in Environmental Geography,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.3,,SAGE,Sociology and Political Science
Progress in Human Geography,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.9,3.279,SAGE,"Geography, Planning and Development"
Progress in Planning,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.3,1.671,Elsevier,"Geography, Planning and Development"
Project Leadership and Society,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.2,1.036,Elsevier,Sociology and Political Science
Psychology and Sexuality,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.4,0.873,Taylor & Francis,Gender Studies
Psychology of Men and Masculinity,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.0,0.961,American Psychological Association,Gender Studies
Psychology of Sexual Orientation and Gender Diversity,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.4,1.255,American Psychological Association,Gender Studies
Psychology of Women Quarterly,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.0,1.238,SAGE,Gender Studies
Public Administration,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.9,2.723,John Wiley & Sons,Sociology and Political Science
Public Administration Review,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A,11.3,3.305,John Wiley & Sons,Sociology and Political Science
Public Management Review,,Public Administration,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.5,2.54,Taylor & Francis,Public Administration
Public Policy and Administration,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.3,1.011,SAGE,Sociology and Political Science
Public Relations Review,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,1.215,Elsevier,Communication
Quality and Quantity,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.5,0.828,Springer Nature,General Social Sciences
RIED-Revista Iberoamericana de Educacion a Distancia,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,0.731,Ibero-American Association for Distance Higher Education (AIESAD),Education
RSF,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.4,1.532,Russell Sage Foundation,Social Sciences (miscellaneous)
Race and Justice,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.7,0.813,SAGE,Anthropology
Regional Studies,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.0,1.883,Taylor & Francis,General Social Sciences
Regional Sustainability,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.9,1.081,KeAi Communications Co.,Urban Studies
Remote Sensing Applications: Society and Environment,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.1,1.074,Elsevier,"Geography, Planning and Development"
Research Synthesis Methods,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.1,3.143,Cambridge University Press,Education
Research and Practice in Technology Enhanced Learning,,Social Psychology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.6,1.027,Asia-Pacific Society for Computers in Education,Social Psychology
Research in Globalization,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.7,0.999,Elsevier,Urban Studies
Research in Science Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,1.199,Springer Nature,Education
Review of Economics and Political Science,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,0.595,Emerald Publishing,Political Science and International Relations
Review of Economics and Statistics,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.0,8.83,MIT Press,Social Sciences (miscellaneous)
Review of Educational Research,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,22.4,5.04,SAGE,Education
Review of International Organizations,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.7,2.208,Springer Nature,Political Science and International Relations
Review of International Political Economy,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.0,2.508,Taylor & Francis,Political Science and International Relations
Review of International Studies,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,1.609,Cambridge University Press,Political Science and International Relations
Review of Policy Research,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.7,1.024,John Wiley & Sons,Political Science and International Relations
Review of Public Personnel Administration,,Public Administration,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.8,1.952,SAGE,Public Administration
Review of Research in Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,0.944,SAGE,Education
Revista de Psicodidactica,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.6,1.063,Escuela Universitaria de Magisterio,Education
School Psychology Review,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.5,1.813,Taylor & Francis,Education
Science Communication,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.9,1.255,SAGE,Sociology and Political Science
Science Technology and Human Values,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.1,1.141,SAGE,Anthropology
